ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
am.pa;DASSAULT AVIATION;Industrials;Aerospace & Defense;158.1999969482422;93.00 - 166.30;40768;0.0167;1653264000.0;0.09149;4.3461537;20.412903;36.4;7.75;0.90415;13158584320.0;1656547200.0;EUR;1672425852
mop.br;MOPOLI;Financial Services;Asset Management;264.0;216.00 - 336.00;0;;1006300800.0;0.0;44.407063;;5.945;;0.099272;25417128.0;1609372800.0;EUR;1672425852
inter.as;INTERTRUST;Financial Services;Asset Management;19.71999931335449;18.72 - 20.45;2514;;1572998400.0;0.04978;38.89546;12.325;0.507;1.6;0.369704;1768603904.0;1656547200.0;EUR;1672425852
ehcs.as;EUROPEAN HEALTHCARE ACQUISITION;Financial Services;Shell Companies;9.949999809265137;9.40 - 11.00;1542;;;0.0;;;;;;199000000.0;1656547200.0;EUR;1672425852
reina.as;REINET INVESTMENTS;Financial Services;Asset Management;17.700000762939453;13.90 - 22.60;1107;0.0173;1663200000.0;0.99669;;;-0.864;;0.611455;3302466048.0;1648684800.0;EUR;1672425852
nn.as;NN GROUP;Financial Services;Insurance—Diversified;38.15999984741211;35.60 - 53.00;1231134;0.060399998;1660521600.0;0.22347;6.500852;9.587939;5.87;3.98;0.966623;11665284096.0;1656547200.0;EUR;1672425852
eas2p.as;EASE2PAY NV;Technology;Software—Infrastructure;1.5540000200271606;1.54 - 3.12;2690;;1463097600.0;-0.91550004;;;-0.095;;2.312794;16395011.0;1656547200.0;EUR;1672425852
fagr.br;FAGRON;Healthcare;Drug Manufacturers—Specialty & Generic;13.270000457763672;10.80 - 18.73;74910;0.0163;1652659200.0;0.11092;16.182928;14.423913;0.82;0.92;0.477963;966805760.0;1656547200.0;EUR;1672425852
avtx.as;AVANTIUM;Basic Materials;Specialty Chemicals;3.650000095367432;2.86 - 5.73;176962;;;-2.67587;;;-0.882;;1.030808;94579536.0;1656547200.0;EUR;1672425852
exn.pa;EXCLUSIVE NETWORKS;Technology;Software—Infrastructure;18.07999992370605;13.50 - 20.00;18909;0.0125;1656979200.0;0.00543;;;-0.08;;;1653895040.0;1656547200.0;EUR;1672425852
