shortName;sector;industry;ticker;last_price;range_52_weeks;averageVolume10days;dividendYield;est_avg_dividend_yield_3y;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency
CLARANOVA;Technology;Software—Application;cla.pa;3.3499999046325684;2.72 - 7.39;92956;N/A;0.0;N/A;0.010319999;33.5;N/A;0.1;0.0;2.321192;152717792;1640908800;EUR
CLOUDBERRY CLEAN ENERGY ASA;Utilities;Utilities—Renewable;cloud.ol;18.920000076293945;12.84 - 19.24;360488;N/A;0.0;N/A;-0.07349;N/A;31.016394;-0.293;0.61;N/A;4534443008;1656547200;NOK
CM.COM;Technology;Software—Application;cmcom.as;12.380000114440918;11.18 - 45.85;37664;N/A;0.0;N/A;-0.13149999;N/A;-13.170213;-0.606;-0.94;1.669989;356427616;1656547200;EUR
CNIM GROUP;Industrials;Waste Management;com.pa;7.460000038146973;5.06 - 13.70;0;N/A;0.0;1562025600;-0.20048;N/A;N/A;-46.35;N/A;1.131031;21089048;1577750400;EUR
CNOVA;Consumer Cyclical;Internet Retail;cnv.pa;5.0;4.10 - 9.08;811;N/A;0.0;N/A;-0.04893;N/A;N/A;-0.149;N/A;0.668874;1726049920;1656547200;EUR
Coca-Cola Europacific Partners ;Consumer Defensive;Beverages—Non-Alcoholic;ccep.as;52.849998474121094;38.78 - 54.50;15917;0.0375;0.021633554708486626;1652313600;0.08713;17.214983;20.807087;3.07;2.54;0.64333;24511459328;1656633600;EUR
COFACE;Financial Services;Insurance—Reinsurance;cofa.pa;10.039999961853027;7.25 - 11.59;176978;0.1491;0.0680610892360217;1653004800;0.14315;6.121951;6.275;1.64;1.6;0.96736;1498630656;1656547200;EUR
Cofina-SGPS;Communication Services;Publishing;cfn.ls;0.24899999797344208;0.21 - 0.26;122965;N/A;0.0;1462752000;0.07101;6.225;4.98;0.04;0.05;0.87701;25538934;1656547200;EUR
COFINIMMO;Real Estate;REIT—Diversified;cofb.br;105.19999694824219;100.90 - 137.37;34638;0.056199998;0.055133081447270076;1652659200;1.3691701;6.7522464;13.452684;15.58;7.82;0.596499;3332588544;1656547200;EUR
COHERIS;Technology;Software—Application;coh.pa;2.559999942779541;1.70 - 2.76;223;N/A;0.0;1561939200;0.08035;14.222221;10.666667;0.18;0.24;0.439924;14555084;1640908800;EUR
COLAS;Industrials;Infrastructure Operations;re.pa;124.0;101.10 - 127.50;455;0.0548;0.06182795698924731;1651622400;0.017029999;16.824966;N/A;7.37;N/A;0.590823;4064670464;1656547200;EUR
COLRUYT;Consumer Defensive;Grocery Stores;colr.br;27.809999465942383;25.94 - 47.21;193766;0.0388;0.04950257796130512;1664496000;0.02859;12.874999;12.470852;2.16;2.23;-0.114947;3696004608;1648684800;EUR
ODET(COMPAGNIE DE L-);Industrials;Conglomerates;odet.pa;1126.0;992.98 - 1,410.70;126;0.0031;0.0022498519834221434;1654732800;0.15519;1.4643916;N/A;768.92;N/A;0.985335;4779768832;1656547200;EUR
CONTEXTVISION;Healthcare;Health Information Services;contx.ol;9.199999809265137;6.90 - 27.10;109744;N/A;0.0;1212969600;0.0921;21.395348;17.358492;0.43;0.53;1.517029;711780992;1656547200;NOK
CORBION;Basic Materials;Specialty Chemicals;crbn.as;29.899999618530273;27.78 - 46.29;118606;0.0185;0.01872909722891584;1653004800;0.050380003;28.47619;18.92405;1.05;1.58;0.881267;1771359744;1656547200;EUR
CORE LABORATORIES N.V.;Energy;Oil & Gas Equipment & Services;clb.as;17.450000762939453;15.19 - 31.97;3100;0.0023;0.017191976325705616;1659657600;0.018229999;91.84211;17.45;0.19;1.0;2.59089;817567424;1656547200;EUR
Corticeira Amorim-SGPS;Basic Materials;Lumber & Wood Production;cor.ls;10.460000038146973;9.00 - 12.26;31675;0.044899996;0.0262906308792631;1652227200;0.08732;17.728815;14.732395;0.59;0.71;0.751655;1391180032;1656547200;EUR
COURTOIS;Real Estate;Real Estate Services;cour.pa;125.0;117.00 - 134.00;1;N/A;0.0;1558656000;-0.01263;N/A;N/A;-0.72;N/A;0.368495;9044625;1593475200;EUR
COVIVIO;Real Estate;REIT—Diversified;cov.pa;56.20000076293945;50.95 - 77.54;92680;0.065799996;0.07206405003000285;1650844800;1.2147;4.257576;12.112069;13.2;4.64;1.551087;5268722176;1656547200;EUR
COVIVIO HOTELS;Real Estate;REIT—Hotel & Motel;covh.pa;16.200000762939453;13.90 - 17.85;803;0.0399;0.08213376156400697;1649721600;1.5411301;45.0;N/A;0.36;N/A;1.127246;2399722496;1656547200;EUR
CRAYON GROUP HOLDING;Technology;Information Technology Services;crayn.ol;117.69999694824219;117.00 - 211.40;262305;N/A;0.0;N/A;0.00484;34.822483;17.462908;3.38;6.74;1.294849;10364886016;1656547200;NOK
CRCAM ALP.PROV.CCI;Financial Services;Banks—Regional;crap.pa;71.4000015258789;62.17 - 82.73;204;0.0463;0.04056956029079034;1650585600;0.27137;3.6596618;N/A;19.51;N/A;0.598391;530846144;1640908800;EUR
