ticker;shortName;sector;industry;last_price;range_52_weeks;averageVolume10days;dividendYield;exDividendDate;profitMargins;trailingPE;forwardPE;trailingEps;forwardEps;beta;marketCap;mostRecentQuarter;currency;modification_date
allix.pa;WALLIX;Technology;Software—Infrastructure;12.9399995803833;11.02 - 20.70;5006.0;N/A;N/A;-0.13865;N/A;-47.925922;-1.254;-0.27;1.295984;76080728.0;1656547200;EUR;1676822585
aldev.pa;DEVERNOIS;Consumer Cyclical;Apparel Manufacturing;13.800000190734863;10.00 - 18.50;3.0;N/A;1369008000;0.25493;N/A;N/A;-18.414;N/A;-0.423709;4157567.0;1656547200;EUR;1676822585
alecp.pa;EUROPACORP;Communication Services;Entertainment;0.5099999904632568;0.41 - 0.74;5830.0;N/A;1380499200;0.61779;N/A;N/A;-0.032;N/A;0.75411;62753968.0;1664496000;EUR;1676822585
alkal.pa;KALRAY;Technology;Semiconductors;19.139999389648438;13.30 - 33.60;12856.0;N/A;N/A;-0.99017;N/A;N/A;-2.621;N/A;1.580959;115200016.0;1656547200;EUR;1676822585
alkom.pa;PLASTICOS COMPUESTOS S.A. (KOMP;Basic Materials;Specialty Chemicals;1.0199999809265137;0.93 - 1.96;259.0;N/A;N/A;-0.00624;56.666668;N/A;0.018;N/A;0.386687;13929936.0;1640908800;EUR;1676822585
alalo.pa;Acheter-Louer.fr;Communication Services;Advertising Agencies;0.04899999871850014;0.01 - 98.00;8113500.0;N/A;N/A;0.0;48.999996;N/A;0.001;N/A;3.89063;35935.0;1656547200;EUR;1676822585
allan.pa;LANSON-BCC;Consumer Defensive;Beverages—Wineries & Distilleries;32.29999923706055;22.60 - 33.00;701.0;0.0214;1651449600;0.08619001;16.80541;N/A;1.922;N/A;0.52237;228160096.0;1656547200;EUR;1676822585
alpro.pa;PRODWARE;Technology;Software—Application;7.639999866485596;6.20 - 8.94;508.0;N/A;1563321600;-0.33943;6.2932453;6.16129;1.214;1.24;0.948757;58478468.0;1656547200;EUR;1676822585
almii.pa;M2i;Technology;Information Technology Services;3.799999952316284;3.10 - 5.15;2515.0;N/A;N/A;0.01598;N/A;N/A;-0.388;N/A;1.220267;19361190.0;1656547200;EUR;1676822585
alqp.pa;QUADPACK;Consumer Cyclical;Packaging & Containers;18.899999618530273;18.60 - 24.00;42.0;0.0083;1626739200;-0.025239998;23.218672;N/A;0.814;N/A;0.032122;82239000.0;1659225600;EUR;1676822585
albps.pa;BIOPHYTIS;Healthcare;Biotechnology;0.04270000010728836;0.03 - 0.40;5094047.0;N/A;N/A;0.0;N/A;-0.050235294;-0.284;-0.85;1.192351;8850173.0;1656547200;EUR;1676822585
almas.pa;MASTRAD;Consumer Defensive;Household & Personal Products;0.06960000097751617;0.03 - 0.28;374338.0;N/A;1331683200;-0.17368999;N/A;N/A;-0.022;N/A;0.949521;1663767.0;1656547200;EUR;1676822585
aldol.pa;DOLFINES;Energy;Oil & Gas Equipment & Services;0.017899999395012856;0.00 - 0.74;24996138.0;N/A;N/A;-0.52738;N/A;N/A;-0.462;N/A;2.461567;5069691.0;1656547200;EUR;1676822585
almdg.pa;MGI DIGITAL GRAPHI;Technology;Computer Hardware;31.700000762939453;25.25 - 37.65;1775.0;N/A;N/A;0.13236;14.298602;N/A;2.217;N/A;0.980114;198105984.0;1656547200;EUR;1676822585
alwec.pa;WE.CONNECT;Technology;Consumer Electronics;14.199999809265137;12.90 - 17.80;657.0;0.027;1654732800;0.02921;16.53085;N/A;0.859;N/A;0.726195;39489916.0;1546214400;EUR;1676822585
alces.pa;CESAR;Consumer Cyclical;Apparel Retail;0.07999999821186066;0.08 - 0.13;790.0;N/A;N/A;-0.14659001;N/A;N/A;-0.033;N/A;0.302485;184140.0;1490918400;EUR;1676822585
alpha.pa;PHARNEXT;Healthcare;Biotechnology;0.0010000000474974513;0.00 - 725.00;61889337.0;N/A;N/A;0.0;N/A;-0.000100000005;-1.2;-10.0;1.2413;3932.0;1656547200;EUR;1676822585
alama.pa;AMA CORPORATION PLC;Healthcare;Health Information Services;0.49000000953674316;0.34 - 2.55;2943.0;N/A;N/A;0.0;N/A;N/A;-0.5;N/A;N/A;11227909.0;1656547200;EUR;1676822585
algtr.pa;GROUPE TERA;Technology;Scientific & Technical Instruments;6.599999904632568;4.60 - 8.65;1345.0;N/A;N/A;0.0039;220.0;N/A;0.03;N/A;-0.193496;22413600.0;1656547200;EUR;1676822585
alhf.pa;HF COMPANY;Technology;Communication Equipment;5.679999828338623;5.10 - 7.98;854.0;0.088;1656979200;0.19582;6.6823525;-189.33333;0.85;-0.03;0.702868;17717908.0;1656547200;EUR;1676822585
altlx.pa;TOOLUX SANDING;Industrials;Tools & Accessories;2.299999952316284;1.60 - 2.30;0.0;N/A;N/A;-0.03636;N/A;N/A;N/A;N/A;-0.141873;4033441.0;1625011200;EUR;1676822585
